,pnu,ldCode,ldCodeNm,mnnmSlno,regstrSeCode,regstrSeCodeNm,lndcgrCode,lndcgrCodeNm,lndpclAr,posesnSeCode,posesnSeCodeNm,cnrsPsnCo,ladFrtlSc,ladFrtlScNm,lastUpdtDt
0,1111010100100010000,1111010100,서울특별시 종로구 청운동,1-0,1,토지대장,08,대,15622.1,01,개인,0,00,수치,2021-08-25
1,1111010100100010001,1111010100,서울특별시 종로구 청운동,1-1,1,토지대장,14,도로,21.4,04,"시, 도유지",0,00,수치,2021-08-25
2,1111010100100010002,1111010100,서울특별시 종로구 청운동,1-2,1,토지대장,08,대,20.7,01,개인,0,00,수치,2021-08-25
3,1111010100100010003,1111010100,서울특별시 종로구 청운동,1-3,1,토지대장,08,대,24.4,01,개인,0,00,수치,2021-08-25
4,1111010100100010004,1111010100,서울특별시 종로구 청운동,1-4,1,토지대장,14,도로,48.9,04,"시, 도유지",0,00,수치,2021-08-25
5,1111010100100010005,1111010100,서울특별시 종로구 청운동,1-5,1,토지대장,08,대,8,02,국유지,0,00,수치,2021-08-25
6,1111010100100020001,1111010100,서울특별시 종로구 청운동,2-1,1,토지대장,08,대,178.5,02,국유지,0,06,1:600,2021-08-25
7,1111010100100020002,1111010100,서울특별시 종로구 청운동,2-2,1,토지대장,08,대,95.9,02,국유지,0,06,1:600,2021-08-25
8,1111010100100020003,1111010100,서울특별시 종로구 청운동,2-3,1,토지대장,08,대,34.7,02,국유지,0,06,1:600,2021-08-25
9,1111010100100020066,1111010100,서울특별시 종로구 청운동,2-66,1,토지대장,08,대,34.7,02,국유지,0,06,1:600,2021-08-25
