시,구,구 자동차,구 수소차,구 인구수
서울특별시,종로구,50254,52,158996
서울특별시,중구,53294,32,134635
서울특별시,용산구,79033,44,244645
서울특별시,성동구,106218,34,300505
서울특별시,광진구,98756,30,360109
서울특별시,동대문구,98073,37,357014
서울특별시,중랑구,114296,28,399562
서울특별시,성북구,120483,36,447056
서울특별시,강북구,75762,16,311569
서울특별시,도봉구,95767,23,327361
서울특별시,노원구,152828,33,527032
서울특별시,은평구,132274,81,484043
서울특별시,서대문구,89569,63,322952
서울특별시,마포구,119442,97,381858
서울특별시,양천구,151274,59,457781
서울특별시,강서구,204927,89,585901
서울특별시,구로구,145029,143,432488
서울특별시,금천구,88626,20,247835
서울특별시,영등포구,146478,109,407367
서울특별시,동작구,105547,67,401572
서울특별시,관악구,119306,44,509803
서울특별시,서초구,179354,206,429025
서울특별시,강남구,236721,128,544055
서울특별시,송파구,245889,115,673926
서울특별시,강동구,150352,133,463998
